"Pos","Comp","Date","Match","Score","Goalkeeper","Goalscorer","Min","Part"
66,"SerA","12/27/1936","Milan - Juventus","3 - 4","Amoretti","Gabardo","84","3 - 4"
67,"SerA","4/24/1938","Milan - Juventus","1 - 1","Bodoira","Boffi","84","1 - 1"
68,"SerA","1/1/1939","Juventus - Milano","2 - 2","Bodoira","Boffi",20,"0 - 1"
69,"SerA","1/1/1939","Juventus - Milano","2 - 2","Bodoira","Buscaglia P.",25,"0 - 2"
70,"SerA","11/5/1939","Juventus - Milano","2 - 2","Amoretti","Pasinati",23,"1 - 1"
71,"SerA","11/5/1939","Juventus - Milano","2 - 2","Amoretti","Boffi",36,"2 - 2"
72,"SerA","3/17/1940","Milano - Juventus","1 - 2","Bodoira","Boffi",25,"1 - 1"
73,"SerA","1/12/1941","Milano - Juventus","2 - 2","Bodoira","Boffi",26,"1 - 0"
74,"SerA","1/12/1941","Milano - Juventus","2 - 2","Bodoira","Boffi",35,"2 - 1"
75,"SerA","4/27/1941","Juventus - Milano","1 - 2","Bodoira","Cappello","54","1 - 1"
76,"SerA","4/27/1941","Juventus - Milano","1 - 2","Bodoira","Boffi","59","1 - 2"
77,"SerA","11/16/1941","Juventus - Milano","3 - 2","Peruchetti","Boffi","79","3 - 1"
78,"SerA","11/16/1941","Juventus - Milano","3 - 2","Peruchetti","Boffi","87","3 - 2"
79,"SerA","3/8/1942","Milano - Juventus","1 - 1","Micheloni","Rava og.","47","1 - 1"
80,"CI","6/21/1942","Milano - Juventus","1 - 1","Peruchetti","Cappello","83","1 - 1"
81,"CI","6/28/1942","Juventus - Milano","4 - 1","Peruchetti","Boffi","56","2 - 1"
82,"SerA","10/4/1942","Juventus - Milano","1 - 1","Peruchetti","Boffi","60","1 - 1"
83,"SerA","1/17/1943","Milano - Juventus","2 - 0","Sentimenti IV","Rosellini",43,"1 - 0"
84,"SerA","1/17/1943","Milano - Juventus","2 - 0","Sentimenti IV","Corbelli","63","2 - 0"
85,"NOGU","10/21/1945","Milan - Juventus","1 - 1","Sentimenti IV","Gimona",27,"1 - 0"
86,"NOGU","1/30/1946","Juventus - Milan","2 - 2","Sentimenti IV","Gimona",2,"0 - 1"
87,"NOGU","1/30/1946","Juventus - Milan","2 - 2","Sentimenti IV","Cremonesi",21,"0 - 2"
88,"NOGU","5/26/1946","Milan - Juventus","1 - 1","Sentimenti IV","Zorzi","79","1 - 0"
89,"NOGU","7/14/1946","Juventus - Milan","3 - 1","Sentimenti IV","Gimona",36,"1 - 1"
90,"SerA","10/6/1946","Milan - Juventus","3 - 3","Sentimenti IV","Annovazzi",22,"1 - 0"
91,"SerA","10/6/1946","Milan - Juventus","3 - 3","Sentimenti IV","Tosolini",24,"2 - 0"
92,"SerA","10/6/1946","Milan - Juventus","3 - 3","Sentimenti IV","Gimona","50","3 - 1"
93,"SerA","3/2/1947","Juventus - Milan","1 - 2","Sentimenti IV","Annovazzi",44,"0 - 1"
94,"SerA","3/2/1947","Juventus - Milan","1 - 2","Sentimenti IV","Puricelli","51","0 - 2"
95,"SerA","12/7/1947","Milan - Juventus","5 - 0","Sentimenti IV","Angeleri og.",24,"1 - 0"
96,"SerA","12/7/1947","Milan - Juventus","5 - 0","Sentimenti IV","Annovazzi",38,"2 - 0"
97,"SerA","12/7/1947","Milan - Juventus","5 - 0","Sentimenti IV","Gratton E.","58","3 - 0"
98,"SerA","12/7/1947","Milan - Juventus","5 - 0","Sentimenti IV","Carapellese","72","4 - 0"
99,"SerA","12/7/1947","Milan - Juventus","5 - 0","Sentimenti IV","Carapellese","90","5 - 0"
100,"SerA","5/6/1948","Juventus - Milan","2 - 1","Sentimenti IV","Carapellese","77","2 - 1"
101,"SerA","11/28/1948","Milan - Juventus","1 - 1","Sentimenti IV","Annovazzi",12,"1 - 1"
102,"SerA","4/10/1949","Juventus - Milan","1 - 1","Sentimenti IV","Nordhal G.","57","0 - 1"
103,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Nordhal G.",15,"1 - 1"
104,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Gren",23,"1 - 2"
105,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Liedholm",24,"1 - 3"
106,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Nordhal G.",26,"1 - 4"
107,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Nordhal G.","49","1 - 5"
108,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Burini","70","1 - 6"
109,"SerA","2/5/1950","Juventus - Milan","1 - 7","Viola G.","Candiani","84","1 - 7"
110,"SerA","10/22/1950","Juventus - Milan","1 - 1","Viola G.","Liedholm","47","0 - 1"
111,"SerA","3/4/1951","Milan - Juventus","2 - 0","Viola G.","Nordhal G.","56","1 - 0"
112,"SerA","3/4/1951","Milan - Juventus","2 - 0","Viola G.","Liedholm","61","2 - 0"
113,"SerA","12/16/1951","Milan - Juventus","1 - 1","Viola G.","Nordhal G.","58","1 - 1"
114,"SerA","5/4/1952","Juventus - Milan","3 - 1","Viola G.","Gren","89","3 - 1"
115,"SerA","12/7/1952","Juventus - Milan","0 - 3","Viola G.","Nordhal G.",18,"0 - 1"
116,"SerA","12/7/1952","Juventus - Milan","0 - 3","Viola G.","Frignani",42,"0 - 2"
117,"SerA","12/7/1952","Juventus - Milan","0 - 3","Viola G.","Frignani","76","0 - 3"
118,"SerA","4/12/1953","Milan - Juventus","1 - 2","Viola G.","Nordhal G.",41,"1 - 1"
119,"SerA","12/20/1953","Milan - Juventus","1 - 0","Viola G.","Sørensen L.",28,"1 - 0"
120,"SerA","1/2/1955","Juventus - Milan","3 - 4","Viola G.","Frignani",1,"0 - 1"
121,"SerA","1/2/1955","Juventus - Milan","3 - 4","Viola G.","Ricagni",27,"1 - 2"
122,"SerA","1/2/1955","Juventus - Milan","3 - 4","Viola G.","Sørensen L.","70","1 - 3"
123,"SerA","1/2/1955","Juventus - Milan","3 - 4","Viola G.","Frignani","72","1 - 4"
